<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AGHIGH,d,20220824,000000,47182,47309,47010,47309,99045
AGHIGH,d,20220827,000000,47500,47700,47200,47200,139014
AGHIGH,d,20220828,000000,47010,47430,46850,46850,340031
AGHIGH,d,20220829,000000,47000,47230,46900,47100,300246
AGHIGH,d,20220830,000000,47050,47150,46800,46910,58104
AGHIGH,d,20220831,000000,46800,46900,46800,46900,32125
AGHIGH,d,20220903,000000,46900,46900,46300,46600,82625
AGHIGH,d,20220904,000000,46700,46750,46700,46750,28220
AGHIGH,d,20220905,000000,46600,46900,46600,46700,157241
AGHIGH,d,20220906,000000,46300,46400,46300,46400,12091
AGHIGH,d,20220907,000000,46500,46600,46250,46250,438163
AGHIGH,d,20220910,000000,45600,45810,45600,45810,115209
AGHIGH,d,20220911,000000,45700,46300,45500,45500,42258
AGHIGH,d,20220912,000000,45600,45650,45350,45350,47099
AGHIGH,d,20220913,000000,45500,45950,45500,45600,6274
AGHIGH,d,20220914,000000,45580,45910,45400,45400,1758810
AGHIGH,d,20220918,000000,45700,45700,44900,44900,54314
AGHIGH,d,20220919,000000,44850,44900,44800,44800,28273
AGHIGH,d,20220920,000000,44500,44510,44500,44500,99469
AGHIGH,d,20220921,000000,44400,44400,44200,44200,26390
AGHIGH,d,20220924,000000,44200,44500,43500,43500,703
AGHIGH,d,20220926,000000,43300,43500,43300,43500,14036
AGHIGH,d,20220928,000000,43900,44210,43900,44210,8565
AGHIGH,d,20221001,000000,44190,44190,43000,43000,10264
AGHIGH,d,20221002,000000,42900,42900,42800,42800,38065
AGHIGH,d,20221003,000000,43000,43000,42800,42800,201850
AGHIGH,d,20221004,000000,42800,43000,42700,43000,4049
AGHIGH,d,20221008,000000,43000,43990,43000,43000,104733
AGHIGH,d,20221009,000000,42800,42800,42600,42600,1496
AGHIGH,d,20221010,000000,42600,42600,42600,42600,11470
AGHIGH,d,20221011,000000,42900,43600,42900,43000,12805
AGHIGH,d,20221012,000000,43440,43440,43440,43440,45718
AGHIGH,d,20221015,000000,43200,43200,43200,43200,16424
AGHIGH,d,20221016,000000,43000,43000,42900,42900,9993
AGHIGH,d,20221017,000000,42800,42800,42800,42800,12567
AGHIGH,d,20221018,000000,42900,43000,42900,42900,71036
AGHIGH,d,20221019,000000,43000,43000,42900,42900,4222
