<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FEMELI,d,20070204,000000,7,7,6,6,172898994
FEMELI,d,20070205,000000,6,6,6,6,10826496
FEMELI,d,20070206,000000,6,6,6,6,26850133
FEMELI,d,20070207,000000,7,7,7,7,31086849
FEMELI,d,20070210,000000,7,7,7,7,40645528
FEMELI,d,20070212,000000,7,7,7,7,215513
FEMELI,d,20070213,000000,7,7,7,7,5110524
FEMELI,d,20070214,000000,7,7,7,7,5103628
FEMELI,d,20070217,000000,7,7,7,7,35308907
FEMELI,d,20070218,000000,7,7,7,7,14815582
FEMELI,d,20070219,000000,7,7,7,7,564225
FEMELI,d,20070220,000000,7,7,7,7,1354521
FEMELI,d,20070313,000000,7,7,7,7,1930522
FEMELI,d,20070314,000000,7,7,3,7,1160513315
FEMELI,d,20070317,000000,7,7,7,7,3663321
FEMELI,d,20070319,000000,7,7,7,7,1436849
FEMELI,d,20070325,000000,7,7,7,7,1629327
FEMELI,d,20070326,000000,7,7,7,7,27899
FEMELI,d,20070327,000000,7,7,7,7,26534
FEMELI,d,20070328,000000,7,7,7,7,131210
FEMELI,d,20070331,000000,7,7,7,7,294199
FEMELI,d,20070403,000000,7,7,7,7,117711
FEMELI,d,20070404,000000,7,7,7,7,260851
FEMELI,d,20070407,000000,7,7,7,7,326721
FEMELI,d,20070408,000000,7,7,7,7,437546
FEMELI,d,20070409,000000,7,7,7,7,320534
FEMELI,d,20070410,000000,7,7,7,7,285858
FEMELI,d,20070411,000000,7,7,7,7,215785
FEMELI,d,20070414,000000,7,7,7,7,259123
FEMELI,d,20070415,000000,7,7,7,7,150035
FEMELI,d,20070416,000000,7,7,7,7,102697
FEMELI,d,20070417,000000,7,7,7,7,120510
FEMELI,d,20070418,000000,7,7,7,7,393010
FEMELI,d,20070421,000000,7,7,7,7,344480
FEMELI,d,20070422,000000,7,7,7,7,341887
FEMELI,d,20070423,000000,7,7,7,7,306431
FEMELI,d,20070424,000000,7,7,7,7,206873
FEMELI,d,20070425,000000,7,7,7,7,10010000
FEMELI,d,20070428,000000,7,7,7,7,20019047
FEMELI,d,20070429,000000,7,7,7,7,20413178
FEMELI,d,20070430,000000,8,8,7,8,30863520
FEMELI,d,20070501,000000,8,8,7,8,5956891
FEMELI,d,20070502,000000,8,8,8,8,8963844
FEMELI,d,20070505,000000,8,8,8,8,20471440
FEMELI,d,20070506,000000,8,8,8,8,17198866
